sessionActivity,sessionNotes,HbO2,activity label,percentCycles: 0 to 200% (peak detection comparison percentage),timestampStart: unix,timestampStart: unix
,,990,thinking,,,
,,991,thinking,,,
,,992,thinking,,,
,,994,thinking,,,
,,995,thinking,,,
,,995,thinking,,,
,,996,thinking,,,
,,996,thinking,,,
,,997,thinking,,,
,,998,thinking,,,
,,999,thinking,,,
,,1001,thinking,,,
,,1001,thinking,,,
,,1002,thinking,,,
,,1003,thinking,,,
,,1001,thinking,,,
,,1001,thinking,,,
,,1002,thinking,,,
,,1003,thinking,,,
,,1004,thinking,,,
,,998,thinking,,,
,,999,thinking,,,
,,999,thinking,,,
,,1001,thinking,,,
,,1003,thinking,,,
,,1004,thinking,,,
,,1004,thinking,,,
,,1005,thinking,,,
,,1006,thinking,,,
,,1006,thinking,,,
,,1007,thinking,,,
,,1008,thinking,,,
,,1008,thinking,,,
,,1010,thinking,,,
,,1011,thinking,,,
,,1011,thinking,,,
,,1011,thinking,,,
,,1011,thinking,,,
,,1011,thinking,,,
,,1011,thinking,,,
,,994,thinking,,,
,,995,thinking,,,
,,996,thinking,,,
,,997,thinking,,,
,,998,thinking,,,
,,1000,thinking,,,
,,1003,thinking,,,
,,1006,thinking,,,
,,1009,thinking,,,
,,1011,thinking,,,
,,1014,thinking,,,
,,1016,thinking,,,
,,1020,thinking,,,
,,1024,thinking,,,
,,1028,thinking,,,
,,1031,thinking,,,
,,1014,thinking,,,
,,854,thinking,,,
,,863,thinking,,,
,,885,thinking,,,
,,909,thinking,,,
,,933,thinking,,,
,,953,thinking,,,
,,972,thinking,,,
,,990,thinking,,,
,,1002,thinking,,,
,,1014,thinking,,,
,,1025,thinking,,,
,,1033,thinking,,,
,,1039,thinking,,,
,,1046,thinking,,,
,,1053,thinking,,,
,,1057,thinking,,,
,,1062,thinking,,,
,,1066,thinking,,,
,,1070,thinking,,,
,,1073,thinking,,,
,,1076,thinking,,,
,,1078,thinking,,,
,,1080,thinking,,,
,,1081,thinking,,,
,,1082,thinking,,,
,,1052,thinking,,,
,,1056,thinking,,,
,,1058,thinking,,,
,,1059,thinking,,,
,,1061,thinking,,,
,,1062,thinking,,,
,,1063,thinking,,,
,,1064,thinking,,,
,,1065,thinking,,,
,,1066,thinking,,,
,,1067,thinking,,,
,,1067,thinking,,,
,,1068,thinking,,,
,,1068,thinking,,,
,,1064,thinking,,,
,,1058,thinking,,,
,,1058,thinking,,,
,,1059,thinking,,,
,,1060,thinking,,,
,,1061,thinking,,,
,,1062,thinking,,,
,,1056,thinking,,,
,,1046,thinking,,,
,,1046,thinking,,,
,,1047,thinking,,,
,,1049,thinking,,,
,,1045,thinking,,,
,,1046,thinking,,,
,,1040,thinking,,,
,,1042,thinking,,,
,,1042,thinking,,,
,,1040,thinking,,,
,,1010,thinking,,,
,,1012,thinking,,,
,,1014,thinking,,,
,,1016,thinking,,,
,,1019,thinking,,,
,,1023,thinking,,,
,,1025,thinking,,,
,,1027,thinking,,,
,,1029,thinking,,,
,,1025,thinking,,,
,,1025,thinking,,,
,,1014,thinking,,,
,,1014,thinking,,,
,,970,thinking,,,
,,971,thinking,,,
,,974,thinking,,,
,,977,thinking,,,
,,982,thinking,,,
